代码,名称,所属行业
SH600758,辽宁能源,煤炭开采加工
SH600760,中航沈飞,国防军工
SH600761,安徽合力,专用设备
SH600763,通策医疗,医疗服务
SH600764,中国海防,国防军工
SH600765,中航重机,国防军工
SH600768,宁波富邦,工业金属
SH600769,祥龙电业,环保
SH600770,综艺股份,综合
SH600771,广誉远,中药
SH600773,西藏城投,房地产开发
SH600774,汉商集团,化学制药
SH600775,南京熊猫,通信设备
SH600776,东方通信,通信设备
SH600777,新潮能源,油气开采及服务
SH600778,友好集团,零售
SH600779,水井坊,饮料制造
SH600780,通宝能源,电力
SH600782,新钢股份,钢铁
SH600783,鲁信创投,保险及其他
SH600784,鲁银投资,综合
SH600785,新华百货,零售
SH600787,中储股份,物流
SH600789,鲁抗医药,化学制药
SH600790,轻纺城,零售
SH600791,京能置业,房地产开发
SH600792,云煤能源,煤炭开采加工
SH600793,宜宾纸业,造纸
SH600794,保税科技,物流
SH600795,国电电力,电力
SH600796,钱江生化,环保
SH600797,浙大网新,计算机应用
SH600798,宁波海运,港口航运
SH600800,渤海化学,石油加工贸易
SH600801,华新水泥,建筑材料
SH600802,福建水泥,建筑材料
SH600803,新奥股份,燃气
SH600805,悦达投资,综合
SH600807,济南高新,贵金属
SH600808,马钢股份,钢铁
SH600809,山西汾酒,饮料制造
SH600810,神马股份,化工合成材料
SH600811,东方集团,农产品加工
SH600812,华北制药,化学制药
SH600814,杭州解百,零售
SH600815,厦工股份,专用设备
SH600817,宇通重工,专用设备
SH600818,中路股份,非汽车交运
SH600819,耀皮玻璃,建筑材料
SH600820,隧道股份,建筑装饰
SH600821,金开新能,电力
SH600822,上海物贸,汽车服务
SH600823,世茂股份,房地产开发
SH600824,益民集团,零售
SH600825,新华传媒,传媒
SH600826,兰生股份,专业服务
SH600827,百联股份,零售
SH600828,茂业商业,零售
SH600829,人民同泰,医药商业
SH600830,香溢融通,保险及其他
SH600831,广电网络,传媒
SH600833,第一医药,医药商业
SH600834,申通地铁,公路铁路运输
SH600835,上海机电,专用设备
SH600836,上海易连,包装印刷
SH600837,海通证券,证券
SH600838,上海九百,零售
SH600839,四川长虹,黑色家电
SH600841,动力新科,汽车零部件
SH600843,上工申贝,专用设备
SH600844,丹化科技,化学原料
SH600845,宝信软件,计算机应用
SH600846,同济科技,房地产开发
SH600847,万里股份,电力设备
SH600848,上海临港,房地产开发
SH600850,电科数字,计算机应用
SH600851,海欣股份,化学制药
SH600853,龙建股份,建筑装饰
SH600854,春兰股份,白色家电
SH600855,航天长峰,计算机设备
SH600857,宁波中百,零售
SH600858,银座股份,零售
SH600859,XD王府井,零售
SH600860,京城股份,通用设备
SH600861,北京城乡,零售
SH600862,中航高科,国防军工
SH600863,内蒙华电,电力
SH600864,哈投股份,证券
SH600865,百大集团,零售
SH600866,星湖科技,化学制品
SH600867,通化东宝,生物制品
SH600868,梅雁吉祥,计算机应用
SH600869,远东股份,电力设备
SH600871,石化油服,油气开采及服务
SH600872,中炬高新,食品加工制造
SH600873,梅花生物,化学制品
SH600874,创业环保,环保
SH600875,东方电气,电力设备
SH600876,洛阳玻璃,电力设备
SH600877,声光电科,半导体及元件
SH600879,航天电子,国防军工
SH600880,博瑞传播,教育
SH600881,亚泰集团,综合
SH600882,妙可蓝多,食品加工制造
SH600883,博闻科技,建筑材料
SH600884,杉杉股份,电力设备
SH600885,宏发股份,电力设备
SH600886,国投电力,电力
SH600887,伊利股份,食品加工制造
SH600888,新疆众和,工业金属
SH600889,南京化纤,化工合成材料
SH600892,大晟文化,传媒
SH600893,航发动力,国防军工
SH600894,广日股份,专用设备
SH600895,张江高科,房地产开发
SH600897,厦门空港,机场航运
SH600898,国美通讯,消费电子
SH600900,长江电力,电力
SH600901,江苏租赁,保险及其他
SH600903,贵州燃气,燃气
SH600905,三峡能源,电力
SH600906,财达证券,证券
SH600908,无锡银行,银行
SH600909,华安证券,证券
SH600916,中国黄金,家用轻工
SH600917,重庆燃气,燃气
SH600918,中泰证券,证券
SH600919,江苏银行,银行
SH600926,杭州银行,银行
SH600927,永安期货,保险及其他
SH600928,西安银行,银行
SH600929,雪天盐业,化学原料
SH600933,爱柯迪,汽车零部件
SH600935,华塑股份,化学原料
SH600936,广西广电,传媒
SH600938,中国海油,油气开采及服务
SH600939,重庆建工,建筑装饰
SH600941,中国移动,通信服务
SH600955,维远股份,化学原料
SH600956,新天绿能,电力
SH600958,东方证券,证券
SH600959,江苏有线,传媒
SH600960,渤海汽车,汽车零部件
SH600961,株冶集团,工业金属
SH600962,国投中鲁,饮料制造
SH600963,岳阳林纸,造纸
SH600965,福成股份,养殖业
SH600966,博汇纸业,造纸
SH600967,内蒙一机,国防军工
SH600968,海油发展,油气开采及服务
SH600969,郴电国际,电力
SH600970,中材国际,建筑装饰
SH600971,恒源煤电,煤炭开采加工
SH600973,宝胜股份,电力设备
SH600975,新五丰,养殖业
SH600976,健民集团,中药
SH600977,中国电影,传媒
SH600979,广安爱众,电力
SH600980,北矿科技,专用设备
